Product Name,Supplier,Lead Time (days),Supplier Code,Preferred Supplier,Comment,Website
STRETCHING,BOLTON BROTHERS LIMITED,27,B057,,,
BESPOKE PATTERNS CHILDRENS,REED MEDICAL LIMITED,27,ZBP,,,
RELASTING OF A01A -A01B SINGLE ITEM OF FOOTWEAR,KEN HALL LTD,29,A01G,,,
NEW BOOT UPPERS REQUIRED FOLLOWING MID FIT,KEN HALL LTD,39,A01H,,,
NEW SHOE UPPERS REQUIRED FOLLOWING MID FIT,KEN HALL LTD,39,A01J,,,
CAST REQUIRING FILLING & DRESSING - EACH,KEN HALL LTD,39,A01K,,,
WELTED CONSTRUCTION TO SOLES (PAIR),KEN HALL LTD,39,A02,,,
WELTED CONSTRUCTION TO HEELS (PAIR),KEN HALL LTD,39,A03,,,
HEAVY UPPERS & COMMANDO UNITS,KEN HALL LTD,39,A04A,,,
LEATHER SOLE & HEEL w/RUBBER TOP PIECE,KEN HALL LTD,39,A05,,,
COMMANDO TYPE SOLES & HEELS - EXTRA,KEN HALL LTD,39,A06,,,
INSIDE COMPENSATING RAISE FROM 1-25mm,KEN HALL LTD,39,A08,,,
INSIDE RAISE OR LEVELLING CRADLE EACH ADDTIONAL 25mm OR PART,KEN HALL LTD,39,A09,,,
LEVELLING CRADLE MOULDED TO A CAST UP TO 25mm,KEN HALL LTD,39,A10,,,
OUTSIDE CORK RAISE UP TO 25mm,KEN HALL LTD,39,A12a,,,
OUTSIDE CORK RAISE EACH ADDITIONAL 25mm,KEN HALL LTD,39,A12B,,,
OUTSIDE MICRO RAISE UP TO 25mm,KEN HALL LTD,39,A13,,,
OUTSIDE MICRO RAISE EACH ADDITIONAL 25mm,KEN HALL LTD,39,A13b,,,
OUTSIDE RAISE-ADD.FOR BRIDGED-ARCHED WAIST,KEN HALL LTD,39,A14,,,
ADDITIONAL PADDING - SINGLE ITEM OF FOOTWEAR,KEN HALL LTD,39,A15,,,
HIGH OR ELONGATED STIFFENER UP TO 150mm TO ONE SIDE OF UPPER,KEN HALL LTD,39,A16,,,
HIGH UPPERS EACH ADDITIONAL 25mm OR PART OVER 150mm,KEN HALL LTD,39,A17,,,
LAMBSWOOL LINING UP TO 150mm IN EACH SHOE,KEN HALL LTD,39,A18,,,
LAMBSWOOL LINING-EACH ADDITIONAL 25mm OR PART,KEN HALL LTD,39,A18A,,,
CONCEALED OR O/S MET SPT BAR RCK SOLE OR WEDGE SOLE - EACH,KEN HALL LTD,39,A19,,,
STIFFENER OR SOLE PLATE IN COMP. MAT EA.,KEN HALL LTD,39,A20,,,
STIFFENER OR SOLE PLATE IN COMP. MAT EA.,KEN HALL LTD,39,A22,,,
ADDITION OF A RUBBER OR STEEL TIP TO THE TOE OR HEEL,KEN HALL LTD,39,A23,,,
ADDITION OF A TIP WITH FLANGE TO PROTECT THE WELT,KEN HALL LTD,39,A24,,,
ADDITION OF A THIN STICK-ON SOLE,KEN HALL LTD,39,A25,,,
INCLUSION OF A FLOATED SOLE,KEN HALL LTD,39,A26,,,
INCLUSION OF AN ELONGATED FLOATED OR WEDGE TO THE HEEL,KEN HALL LTD,39,A31,,,
SINGLE OR DOUBLE SOCKET WITHOUT STOP,KEN HALL LTD,39,A37,,,
INCLUSION OF A SINGLE OR DOUBLE SOCKET w/FRONT OR BACKSTOPS,KEN HALL LTD,39,A37B,,,
INCLUSION OF A SINGLE OR DOUBLE TOE RAISING/TORSION SOCKET,KEN HALL LTD,39,A37c,,,
ADDITION OF A LINED & PADDED T OR Y STRAP,KEN HALL LTD,39,A38,,,
LINED/PADDED DOUBLE DECKER T OR Y STRAP,KEN HALL LTD,39,A39,,,
STIRRUP/HEEL/TOE RAISING OR CALIPER RETAINING STRAP,KEN HALL LTD,39,A40,,,
"PROTECTIVE TOE CAP TO COVER FOREPART OF VAMP, WELT OR SOLE",KEN HALL LTD,39,A41,,,
ADDITIONAL COST OF COVERING INLAY IN SINGLE DENSITY MATERIAL,KEN HALL LTD,39,A44A,,,
ADDITIONAL COST OF A COVERING INLAY IN DUAL DENSITY MATERIAL,KEN HALL LTD,39,A44B,,,
ADDITIONAL COST OF COVERING INLAY IN MULTI DENSITY MATERIALS,KEN HALL LTD,39,A44C,,,
METATARSAL VALGUS OR HEEL PAD OR HEEL WEDGE TO SHOE OR INLAY,KEN HALL LTD,39,A45,,,
TOE FILLER TO COMPENSATE FOR PART AMPUTATION,KEN HALL LTD,39,A46,,,
FOREPART FILLER TO COMPENSATE FOR FOREFOOT AMPUTATION,KEN HALL LTD,39,A47,,,
CORK/PLASTAZOTE RAISE UP TO 25mm,KEN HALL LTD,29,B01,,,
CORK RAISE - EACH SUBSEQUENT 25mm OR PART,KEN HALL LTD,29,B02,,,
MICRO RAISE UP TO 25mm,KEN HALL LTD,29,B03,,,
MICRO RAISE - EACH SUBSEQUENT 25mm OR PART,KEN HALL LTD,29,B04,,,
RAISING THE HEEL UP TO 25mm,KEN HALL LTD,29,B05,,,
LOWERING THE HEEL,KEN HALL LTD,29,B06,,,
HEEL SEAT OR VALGUS / VARUS WEDGE,KEN HALL LTD,29,B07,,,
STIRRUP- HEEL-TOE-RAISING OR CALIPER RETAINING STRAP,KEN HALL LTD,29,B08,,,
ANY ADDITIONAL PADDING,KEN HALL LTD,29,B09,,,
LOWERING THE UPPER BENEATH THE ANKLE ON ONE SIDE,KEN HALL LTD,29,B10,,,
ADDITION OF A CUFF TO INCREASE THE UPPER HEIGHT,KEN HALL LTD,29,B11,,,
EXTENDING THE LACING SECTION,KEN HALL LTD,29,B12,,,
CONVERT TO VELCRO FASTEN REFACING WHERE NECESSARY PER STRAP,KEN HALL LTD,29,B13,,,
ADDITION OF LAMBSWOOL LINING OR SIMILAR,KEN HALL LTD,29,B14,,,
ADDITION OF A HIGH OR ELONGATED STIFFENER,KEN HALL LTD,29,B15,,,
ADDITION OF A METATARSAL BAR FITTED TO SOLE,KEN HALL LTD,29,B16,,,
INCLUSION OF A ROCKER SOLE SINGLE DENSITY,KEN HALL LTD,29,B17,,,
INCLUSION OF A WEDGE FITTED INTO OR ONTO THE SOLE,KEN HALL LTD,29,B18,,,
INCLUSION OF A FLOATED SOLE,KEN HALL LTD,29,B19,,,
INCLUSION OF A SOLE STRIP OR PLATE IN COMPOSITE MATERIAL,KEN HALL LTD,29,B20,,,
INCLUSION OF A SOLE STRIP OR PLATE IN NON-COMPOSITE MATERIAL,KEN HALL LTD,29,B21,,,
ADDITION OF A RUBBER OR STEEL TIP TO THE SOLE OR HEEL,KEN HALL LTD,29,B22,,,
ADDITION OF A TIP WITH FLANGE TO PROTECT THE WELT,KEN HALL LTD,29,B23,,,
ADDITION OF AN EXTERNAL PROTECTIVE TOE CAP,KEN HALL LTD,29,B24,,,
F/L OR 1/2 ELONGATED OBLIQUE FLOATED WEDGE/TORQUE HEEL,KEN HALL LTD,29,B25,,,
SOCKET ONE/BOTH SIDES OF HEEL wo/FRONT/BACKSTOPS,KEN HALL LTD,29,B30,,,
SOCKET ONE/BOTH SIDES OF HEEL w/FRONT/BACKSTOPS,KEN HALL LTD,29,B31,,,
TOE RAISING OR TORSION SOCKET,KEN HALL LTD,29,B32,,,
ADDITION OF A LINED AND PADDED T OR Y STRAP,KEN HALL LTD,29,B33,,,
ADDITION OF A LINED AND PADDED DOUBLE DECKER T OR Y STRAP,KEN HALL LTD,29,B34,,,
REBUILDING HEEL IN LEATHER SYNTHETIC MATERIAL,KEN HALL LTD,29,B35,,,
EXCAVATE INSIDE OF HEEL & APPLY SOFT INSERT,KEN HALL LTD,29,B36,,,
METATARSUL OR VALGUS SUPPORT OR HEEL PAD TO B40,KEN HALL LTD,29,B41,,,
METATARSAL OR VALGUS SUPPORT OR HEEL PAD FIXED TO THE SHOE,KEN HALL LTD,29,B42,,,
HEEL ELEVATOR IN CORK HDP OR EVA w/SUITABLE COVERING,KEN HALL LTD,29,B43,,,
COVERING B54 IN A SINGLE DENSITY MATERIAL,KEN HALL LTD,29,B55A,,,
COVERING B54 IN A DUAL DENSITY MATERIAL,KEN HALL LTD,29,B55B,,,
COVERING B54 IN A MULTI DENSITY MATERIAL,KEN HALL LTD,29,B55C,,,
ADDITIONAL POSTING TO ANY FFOs - B40-B50-B51-B54,KEN HALL LTD,29,B56,,,
STRETCHING,KEN HALL LTD,29,B57,,,
RENEWING INSIDE COMPENSATE RAISE UP TO 25mm,KEN HALL LTD,29,C01,,,
INSIDE COMPENSATE RAISE - EACH SUBSEQUENT 25mm OR PART OF,KEN HALL LTD,29,C02,,,
REMOVE OUTSIDE RAISE & RESTORE TO NORMAL,KEN HALL LTD,29,C03,,,
RENEW BRIDGE PLATE,KEN HALL LTD,29,C04,,,
PATCH TO UPPER MACHINED/SOLUTIONED,KEN HALL LTD,29,C10,,,
RESTITCHING UPPER PER 25mm OR PART THEREOF,KEN HALL LTD,29,C11,,,
RE-FACING INC. EYELETS- HOOKS- D-RINGS - PER SHOE,KEN HALL LTD,29,C12,,,
REPLACE EYELETS- HOOKS- D-RINGS (PAIR),KEN HALL LTD,29,C13,,,
RENEW ELASTIC INSERT,KEN HALL LTD,29,C15,,,
RENEW ZIP OF FOOTWEAR,KEN HALL LTD,29,C16,,,
RENEW TONGUE OF FOOTWEAR,KEN HALL LTD,29,C17,,,
ANY RE-PADDING OF FOOTWEAR,KEN HALL LTD,29,C18,,,
RELINING THE BACK OF FOOTWEAR,KEN HALL LTD,29,C19,,,
SOLING IN LEATHER & HEELING IN RUBBER (PAIR),KEN HALL LTD,29,C20,,,
SOLE & HEEL IN RUBBER OR SYNTHETIC MATERIAL (PAIR),KEN HALL LTD,29,C21,,,
SOLING & HEELING IN COMMANDO TYPE UNIT (PAIR),KEN HALL LTD,29,C22,,,
SOLE ONLY IN LEATHER (PAIR),KEN HALL LTD,29,C23,,,
SOLE ONLY IN RUBBER OR SYNTHETIC MATERIAL (PAIR),KEN HALL LTD,29,C24,,,
"CHARGE FOR THRU-SOLING IN SYNTHETIC, RUBBER OR LEATHER",KEN HALL LTD,29,C25,,,
ADDITIONAL CHARGE FOR REPAIR TO STITCHED SOLES,KEN HALL LTD,29,C26,,,
RENEW STICK ON SOLES (PAIR),KEN HALL LTD,29,C27,,,
COMPLETE RE-WELTING,KEN HALL LTD,29,C28,,,
PART RE-WELTING PER 25mm,KEN HALL LTD,29,C29,,,
REMOVE ROCKER-MET BAR-WEDGE OR STIFF (PAIR),KEN HALL LTD,29,C30,,,
HEELING IN LEATHER (PAIR),KEN HALL LTD,29,C31,,,
HEELING IN RUBBER OR SYNTHETIC (PAIR),KEN HALL LTD,29,C32,,,
HEELING w/COMMANDO TYPE TOP PIECE,KEN HALL LTD,29,C33,,,
REP.COST FOR HEEL REP FLOAT- ELONG'N-OBLIQUE EACH,KEN HALL LTD,29,C34,,,
RENEW HEEL OR TOE TIP,KEN HALL LTD,29,C35,,,
REMOVE SOCKET & RESTORE TO NORMAL,KEN HALL LTD,29,C36,,,
REMOVE ADAPTIONS EXTRA TO HEELING - EACH,KEN HALL LTD,29,C37,,,
EXCAVATE INSIDE OF HEEL & APPLY SOFT INSERT,KEN HALL LTD,29,C38,,,
REBUILD HEEL IN SYNTHETIC MATERIAL OR RUBBER EXTRA,KEN HALL LTD,29,C39,,,
RENEW PADDED T OR Y STRAP,KEN HALL LTD,29,C40,,,
RENEW DOUBLE DECKER T OR Y STRAP,KEN HALL LTD,29,C41,,,
REMOVE T OR Y STRAP & RESTORE TO NORMAL,KEN HALL LTD,29,C42,,,
NEW MET- VALGUS OR HEEL PAD- WEDGE - EACH,KEN HALL LTD,29,C45,,,
MOULD.TOE CAP COVER VAMP- WELT & SOLE - EACH,KEN HALL LTD,29,C46,,,
RECOVER AN INLAY OR CRADLE - EACH,KEN HALL LTD,29,C47,,,
SINGLE LAST ADAPTION OF UP TO 3mm IN ONE AREA OF THE LAST,KEN HALL LTD,29,F10,,,
SINGLE LAST ADAPTION OF UP TO 6mm IN ONE AREA OF THE LAST,KEN HALL LTD,29,F11,,,
SINGLE LAST ADAPTION OF UP TO 9mm IN ONE AREA OF THE LAST,KEN HALL LTD,29,F12,,,
SINGLE LAST ADAPTION OF UP TO 12mm IN ONE AREA OF THE LAST,KEN HALL LTD,29,F13,,,
CUTTING SPECIAL PATTERN & UPPER TO ALLOW FOR MAJOR LAST ALT,KEN HALL LTD,29,F21,,,
ADDITION TO DESPATCH FOOTWEAR IN MIDFIT FORMAT TO FIRST FIT,KEN HALL LTD,29,F22,,,
RE-LASTING FOOTWEAR FOLLOWING MID-FIT,KEN HALL LTD,29,F23,,,
RE-CUT A SHOE UPPER AFTER MIDFIT DUE TO EXCESSIVE ALTERATION,KEN HALL LTD,29,F24,,,
RE-CUT A BOOT UPPER AFTER MIDFIT DUE TO EXCESSIVE ALTERATION,KEN HALL LTD,29,F25,,,
ADDITIONAL CHARGE FOR EACH ADDITIONAL FITTING,KEN HALL LTD,29,F26,,,
CHANGE OF FOOTWEAR FASTENING TO VELCRO,KEN HALL LTD,29,F27,,,
ALTERING THE LAST FOLLOWING COMPLETION STAGE,KEN HALL LTD,29,F28,,,
ADDITIONAL CHARGE FOR PROVISION OF DIABETIC SPEC TO FOOTWEAR,KEN HALL LTD,29,F29,,,
COMMANDO SOLE & HEEL (PAIR),KEN HALL LTD,29,F40a1,,,
LEATHER SOLE (PAIR),KEN HALL LTD,29,F40a2,,,
BOWLING UNIT (PAIR),KEN HALL LTD,29,F40a3,,,
ALTERATION TO UPPER EG REDUCE HEIGHT UNDER ANKLE,KEN HALL LTD,29,F41,,,
STRETCHING OF FOOTWEAR,KEN HALL LTD,29,F42,,,
ADDITION OF SPECIAL LINING EG LAMBSWOOL,KEN HALL LTD,29,F43,,,
SPECIAL STIFFENERS TO FOOTWEAR (PAIR),KEN HALL LTD,29,F44,,,
ADDITIONAL PADDING (PER PAD),KEN HALL LTD,29,F45,,,
OUTSIDE COMPENSATING RAISE UP TO 25mm w/RAND,KEN HALL LTD,29,F60,,,
EACH SUBSEQUENT OUTSIDE RAISE 25mm OR PART THEREOF TO F30,KEN HALL LTD,29,F61,,,
OUTSIDE COMPENSATING RAISE UP TO 25mm wo/RAND,KEN HALL LTD,29,F62,,,
EACH SUBSEQUENT OUTSIDE RAISE 25mm OR PART THEREOF TO F32,KEN HALL LTD,29,F63,,,
SOLE UNIT ADAPT ADD A METATARSAL BAR FITTED TO FOOTWEAR SOLE,KEN HALL LTD,29,F64,,,
SOLE UNIT ADAPT INCLUDE A ROCKER SOLE FITTED INTO/ONTO SOLE,KEN HALL LTD,29,F65,,,
SOLE UNIT ADAPT INCLUSION OF WEDGE FITTED INTO/ONTO SOLE,KEN HALL LTD,29,F66,,,
SOLE UNIT ADAPT INCLUDE SOLE STRIP/PLATE COMPOSITE MATERIAL,KEN HALL LTD,29,F67,,,
SOLE UNIT ADAPT ADD SOLE STRIP/PLATE NONCOMPOSITE MATERIAL,KEN HALL LTD,29,F68,,,
SOLE UNIT ADAPT ADDITION OF A RUBBER OR STEEL TIP TO SOLE,KEN HALL LTD,29,F69,,,
SOLE UNIT ADAPT ADD A TIP WITH FLANGE TO PROTECT WELT,KEN HALL LTD,29,F70,,,
HEEL UNIT ADAPT INCLUDE FLOATED SOLE IN SINGLE FOOTWEAR ITEM,KEN HALL LTD,29,F71,,,
HEEL UNIT ADAPT F/L OR 1/2 OBLIQUE FLOATED/WEDGE/TORQUE,KEN HALL LTD,29,F72,,,
HEEL UNIT ADAPT RAISING HEEL SINGLE FOOTWEAR ITEM UP TO 25mm,KEN HALL LTD,29,F73,,,
HEEL UNIT ADAPT LOWERING HEEL IN A SINGLE ITEM OF FOOTWEAR,KEN HALL LTD,29,F74,,,
HEEL UNIT ADAPT REBUILDING HEEL TO ALLOW SOCKET FIXATION,KEN HALL LTD,29,F75,,,
SOCKET INCLUDE TOE RAISING SOCKET TO SINGLE ITEM OF FOOTWEAR,KEN HALL LTD,29,F76,,,
SOCKET TO ONE/BOTH SIDES OF HEEL WITHOUT FRONT/BACKSTOP,KEN HALL LTD,29,F77,,,
SOCKET TO ONE/BOTH SIDES OF HEEL WITH FRONT/BACKSTOPS,KEN HALL LTD,29,F78,,,
ADDITIONAL STRAPS STIRRUP OR HEEL STRAP,KEN HALL LTD,29,F79,,,
ADDITION OF A LINED & PADDED T OR Y STRAP,KEN HALL LTD,29,F80,,,
ADDITION OF A LINED & PADDED DOUBLE DECKER T OR Y STRAP,KEN HALL LTD,29,F81,,,
COMMANDO SOLES & HEELS,KEN HALL LTD,29,XCSH,,,
GOLF STUD SOLES (PAIR),KEN HALL LTD,29,XGS,,,
INLAY - ADD SINK,KEN HALL LTD,29,XIS,,,
INLAYS - SHEARINGCOVER (PAIR),KEN HALL LTD,29,XISC,,,
LEATHER SOLES & HEELS (PAIR),KEN HALL LTD,29,XLSH,,,
NON SCHEDULED WORK - PER 5 MINS,KEN HALL LTD,29,XNCISTR,,,
SNEATH HEEL,KEN HALL LTD,29,XSH,,,
SHAVE INLAY,KEN HALL LTD,29,XSI,,,
ADDITIONAL PADDING TO STIFFENER,REED MEDICAL LIMITED,27,ZA15a,,,
ELEMENTS BODY - REINFORCEMENT SMALL,ALLARD SUPPORT UK LTD,22,393500000,,,
ELEMENTS BODY - REINFORCEMENT LARGE,ALLARD SUPPORT UK LTD,22,393510000,,,
ELEMENTS BODY - ALTERATION ONE ITEM - FIRST,ALLARD SUPPORT UK LTD,22,393600000,,,
ELEMENTS BODY - ALTERATION MINOR,ALLARD SUPPORT UK LTD,22,393610000,,,
ELEMENTS BODY - ALTERATION MAJOR,ALLARD SUPPORT UK LTD,22,393630000,,,
CARBON FIBRE SOLE PLATE,REED MEDICAL LIMITED,27,B20a,,,
ADDITIONAL PADDING TO STIFFENER,REED MEDICAL LIMITED,27,B9a,,,
ADDITIONAL PADDING TO STIFFENER,REED MEDICAL LIMITED,27,A15a,,,
CARBON FIBRE SOLE PLATE,REED MEDICAL LIMITED,27,A20a,,,
BESPOKE LAST CREATION,REED MEDICAL LIMITED,27,ZBL,,,
VELCRO FASTENING,REED MEDICAL LIMITED,27,ZRKV,,,
SUPER PLUSH LINING TO SHOES (PAIR),REED MEDICAL LIMITED,27,ZSPLS,,,
SHEEPSKIN LINING TO SHOES,REED MEDICAL LIMITED,27,ZWLS,,,
SHEEPSKIN LINING TO BOOTS,REED MEDICAL LIMITED,27,ZWLBT,,,
FULL LEATHER LININGS,REED MEDICAL LIMITED,27,ZLLNG,,,
CARBON FIBRE SOLE PLATE,REED MEDICAL LIMITED,27,ZB20a,,,
ADDITIONAL PADDING TO STIFFENER,REED MEDICAL LIMITED,27,ZB9a,,,
RENEWING INSIDE COMPENSATE RAISE UP TO 25mm,REED MEDICAL LIMITED,27,ZC1,,,
PATCH TO UPPER MACHINED/SOLUTIONED,REED MEDICAL LIMITED,27,ZC10,,,
RESTITCHING UPPER 25mm OR PART THEREOF,REED MEDICAL LIMITED,27,ZC11,,,
REFACING UPPER 25mm OR PART THEREOF,REED MEDICAL LIMITED,27,ZC12,,,
REPLACE EYELETS/SKI HOOKS,REED MEDICAL LIMITED,27,ZC13,,,
RENEW LACES,REED MEDICAL LIMITED,27,ZC14,,,
RENEW ELASTIC INSERT,REED MEDICAL LIMITED,27,ZC15,,,
RENEW ZIP SINGLE ITEM OF FOOTWEAR,REED MEDICAL LIMITED,27,ZC16,,,
RENEW TONGUE SINGLE ITEM OF FOOTWEAR,REED MEDICAL LIMITED,27,ZC17,,,
RE-PADDING SINGLE ITEM OF FOOTWEAR,REED MEDICAL LIMITED,27,ZC18,,,
RELINING THE BACK SINGLE ITEM OF FOOTWEAR,REED MEDICAL LIMITED,27,ZC19,,,
RENEW INSIDE COMPENSATE RAISE ADDITIONAL 25mm,REED MEDICAL LIMITED,27,ZC2,,,
SOLING IN LEATHER & HEELING IN RUBBER (PAIR),REED MEDICAL LIMITED,27,ZC20,,,
SOLING & HEELING SYNTH MATERIAL OR RUBBER (PAIR),REED MEDICAL LIMITED,27,ZC21,,,
SOLING & HEELING COMMANDO TYPE UNITS (PAIR),REED MEDICAL LIMITED,27,ZC22,,,
SOLING ONLY IN LEATHER (PAIR),REED MEDICAL LIMITED,27,ZC23,,,
SOLING ONLY IN SYNTHETIC MATERIAL (PAIR),REED MEDICAL LIMITED,27,ZC24,,,
SOLING & HEELING THROUGH WEDGE (PAIR),REED MEDICAL LIMITED,27,ZC25,,,
REPAIR TO STITCH SOLE,REED MEDICAL LIMITED,27,ZC26,,,
RENEW STICK ON SOLES,REED MEDICAL LIMITED,27,ZC27,,,
RE-WELTING COMPLETELY,REED MEDICAL LIMITED,27,ZC28,,,
REMOVING OUTSIDE RAISE & RESTORING TO NORMAL,REED MEDICAL LIMITED,27,ZC3,,,
REMOVING 1 ROCKER SOLE/METATARSAL SUPPORT BAR,REED MEDICAL LIMITED,27,ZC30,,,
HEELING IN LEATHER (PAIR),REED MEDICAL LIMITED,27,ZC31,,,
HEELING IN SYNTHETIC MATERIAL OR RUBBER (PAIR),REED MEDICAL LIMITED,27,ZC32,,,
HEELING w/COMMANDO TYPE TOP PIECE (PAIR),REED MEDICAL LIMITED,27,ZC33,,,
ADDITIONAL CHARGE FOR ENCOUNTERING DIFFICULT HEELS,REED MEDICAL LIMITED,27,ZC34,,,
RENEW HEEL OR TOE TIP,REED MEDICAL LIMITED,27,ZC35,,,
REMOVE SOCKET & RESTORE TO NORMAL,REED MEDICAL LIMITED,27,ZC36,,,
REMOVE FLOATED/ELONGATED/OBLIQUE HEEL,REED MEDICAL LIMITED,27,ZC37,,,
REBUILDING THE HEEL IN LEATHER,REED MEDICAL LIMITED,27,ZC38,,,
REBUILDING THE HEEL IN SYNTHETIC/RUBBER,REED MEDICAL LIMITED,27,ZC39,,,
RENEWING BRIDGE PLATE,REED MEDICAL LIMITED,27,ZC4,,,
RENEW PADDED T OR Y STRAP,REED MEDICAL LIMITED,27,ZC40,,,
RENEW PADDED T OR Y STRAP DOUBLE DECKER,REED MEDICAL LIMITED,27,ZC41,,,
REMOVE T OR Y STRAP & RETURN TO NORMAL,REED MEDICAL LIMITED,27,ZC42,,,
RENEW METATARSAL VALGUS/HEEL PAD/WEDGE,REED MEDICAL LIMITED,27,ZC45,,,
RENEW TOE CAP COVER VAMP/WELT & OUTER SOLE,REED MEDICAL LIMITED,27,ZC46,,,
RECOVER AN INLAY OR CRADLE,REED MEDICAL LIMITED,27,ZC47,,,
B/K METAL BAND PADDED LEATHER COVER SINGLE,REED MEDICAL LIMITED,27,ZD1/A,,,
B/K METAL BAND PADDED LEATHER COVER DOUBLE,REED MEDICAL LIMITED,27,ZD1/B,,,
LEVELING CRADLE UP TO 25mm,REED MEDICAL LIMITED,27,ZA10,,,
OUTSIDE RAISE w/RAND UP TO 25mm,REED MEDICAL LIMITED,27,ZA12a,,,
ADITIONAL 25mm OR PART THEREOF,REED MEDICAL LIMITED,27,ZA12b,,,
OUTSIDE RAISE wo/RAND UP TO 25mm,REED MEDICAL LIMITED,27,ZA13a,,,
ADDITIONAL 25mm OR PART THEREOF,REED MEDICAL LIMITED,27,ZA13b,,,
ADDITIONAL CHARGE FOR BRIDGED OR ARCHED WAIST,REED MEDICAL LIMITED,27,ZA14,,,
ADDITIONAL PADDING TO TONGUE/COLLAR,REED MEDICAL LIMITED,27,ZA15,,,
HIGH/ELONGATED STIFFENER,REED MEDICAL LIMITED,27,ZA16,,,
ADDITIONAL 25mm HIGH BOOT UPPERS,REED MEDICAL LIMITED,27,ZA17,,,
LAMBSWOOL LINING UP TO 150mm IN A SINGLE ITEM OF FOOTWEAR,REED MEDICAL LIMITED,27,ZA18a,,,
ADDITIONAL LAMBSWOOL LINING PER EXTRA 25mm,REED MEDICAL LIMITED,27,ZA18b,,,
METATARSAL SUPPORT BAR,REED MEDICAL LIMITED,27,ZA19,,,
ADDITIONAL RELASTING OF SINGLE ITEM OF FOOTWEAR,REED MEDICAL LIMITED,32,ZA1g,,,
NEW BOOT UPPERS REQUIRED FOLLOWING MID FIT,REED MEDICAL LIMITED,32,ZA1h,,,
NEW SHOE UPPERS REQUIRED FOLLOWING MID FIT,REED MEDICAL LIMITED,32,ZA1j,,,
WELTED CONSTRUCTION TO SOLES & HEELS,REED MEDICAL LIMITED,27,ZA2,,,
CARBON FIBRE SOLE PLATE,REED MEDICAL LIMITED,27,ZA20a,,,
STIFFENER/SOLE PLATE NON-COMPOSITE MATERIAL,REED MEDICAL LIMITED,27,ZA22,,,
TIP RUBBER/STEEL TO TOE/HEEL ADDITION,REED MEDICAL LIMITED,27,ZA23,,,
TIP w/FLANGE TO PROTECT WELT ADDITION,REED MEDICAL LIMITED,27,ZA24,,,
SOLE THIN STICK-ON ADDITION,REED MEDICAL LIMITED,27,ZA25,,,
SOLE FLOATED,REED MEDICAL LIMITED,27,ZA26,,,
WELTED CONSTRUCTION TO HEELS,REED MEDICAL LIMITED,27,ZA3,,,
ELONGATED HALF OBLIQUE FLOATED/WEDGE TO HEEL,REED MEDICAL LIMITED,27,ZA31,,,
SINGLE/DOUBLE TOE ROUND/RECTANGULAR SOCKET,REED MEDICAL LIMITED,27,ZA37a,,,
SINGLE/DOUBLE SOCKET FRONT/BACK STOPS,REED MEDICAL LIMITED,27,ZA37b,,,
SINGLE/DOUBLE TOE RAISING /TORSION SOCKET,REED MEDICAL LIMITED,27,ZA37c,,,
STRAP T OR Y LINED & PADDED ADDITION,REED MEDICAL LIMITED,27,ZA38,,,
STRAP T OR Y LINED & PADDED DOUBLE DECKER,REED MEDICAL LIMITED,27,ZA39,,,
STIRRUP HEEL TOE RAISING CALLIPER RETAINING STRAP,REED MEDICAL LIMITED,27,ZA40,,,
TOE CAP PROTECTIVE FOR VAMP WELT & OUTER SOLE,REED MEDICAL LIMITED,27,ZA41,,,
ADDITIONAL COST COVERING INLAY SINGLE DENSITY MATERIAL,REED MEDICAL LIMITED,27,ZA44a,,,
ADDITIONAL COST COVERING INLAY DUAL DENSITY MATERIAL,REED MEDICAL LIMITED,27,ZA44b,,,
ADDITIONAL COST COVERING INLAY MULTI DENSITY MATERIAL,REED MEDICAL LIMITED,27,ZA44c,,,
METATARSAL VALGUS HEEL PAD/WEDGE TO SHOE/INLAY,REED MEDICAL LIMITED,27,ZA45,,,
FILLER TO COMPENSATE FOR AMPUTATION OF TOES,REED MEDICAL LIMITED,27,ZA46,,,
FILLER TO COMPENSATE FOR AMPUTATION OF FOOT,REED MEDICAL LIMITED,27,ZA47,,,
INDUSTRIAL CONSTRUCTION HEAVY UPPERS HARD WEAR SOLE,REED MEDICAL LIMITED,27,ZA4a,,,
LEATHER SOLE & HEEL w/RUBBER TOP PIECE,REED MEDICAL LIMITED,27,ZA5,,,
COMMANDO TYPE SOLES & HEELS,REED MEDICAL LIMITED,27,ZA6,,,
COMPENSATING RAISE INSIDE UP TO 25mm,REED MEDICAL LIMITED,27,ZA8,,,
ADDITIONAL COMPENSATING RAISE 25mm,REED MEDICAL LIMITED,27,ZA9,,,
EMBROIDERY ON NIMCO FOOTWEAR (STANDARD) (PAIR),DENOVO HEALTHCARE LTD,27,NMEMBROID,,,
BUTTRESS,REED MEDICAL LIMITED,27,ABC,,,
CARBON FIBRE SOLE PLATE,CHANECO LTD,17,SA20,,,
RENEWING INSIDE COMPENSATE RAISE UP TO 25mm,BOLTON BROTHERS LIMITED,27,C001,,,
EACH ADDITIONAL 25mm OR PART THEREOF,BOLTON BROTHERS LIMITED,27,C002,,,
REMOVING OUTSIDE RAISE & RESTORE TO NORMAL,BOLTON BROTHERS LIMITED,27,C003,,,
RENEWING BRIDGE PLATE,BOLTON BROTHERS LIMITED,27,C004,,,
PATCH TO UPPER,BOLTON BROTHERS LIMITED,27,C010,,,
