Product Name,Supplier,Lead Time (days),Supplier Code,Preferred Supplier,Comment,Website
STIFFENER OR SOLE PLATE IN NON-COMPOSITE MATERIAL - EACH,"JANE,SAUNDERS & MANNING",32,A22,,,
ADDITION OF A RUBBER OR STEEL TIP TO THE TOE OR HEEL,"JANE,SAUNDERS & MANNING",32,A23,,,
ADDITION OF A THIN STICK-ON SOLE,"JANE,SAUNDERS & MANNING",32,A25,,,
INCLUSION OF A FLOATED SOLE,"JANE,SAUNDERS & MANNING",32,A26,,,
ADDITION OF A LINED & PADDED T OR Y STRAP,"JANE,SAUNDERS & MANNING",32,A38,,,
STIRRUP/HEEL/TOE RAISING OR CALIPER RETAINING STRAP,"JANE,SAUNDERS & MANNING",32,A40,,,
ADDITIONAL COST OF COVERING INLAY IN SINGLE DENSITY MATERIAL,"JANE,SAUNDERS & MANNING",32,A44A,,,
TOE FILLER TO COMPENSATE FOR PART AMPUTATION,"JANE,SAUNDERS & MANNING",32,A46,,,
LAST ALTERATION,KENWARD ORTHOPAEDIC LTD,28,SS008,,,
CUT UPPER TO ALLOW FOR MAJOR LAST ALTERATION,KENWARD ORTHOPAEDIC LTD,28,SS017,,,
THROUGH WEDGE SOLE AND HEEL (PAIR),KENWARD ORTHOPAEDIC LTD,28,SS006,,,
INCLUSION OF A FLOATED SOLE,KENWARD ORTHOPAEDIC LTD,28,B19,,,
BOOT STYLE UPPER (PAIR),KENWARD ORTHOPAEDIC LTD,28,SS003,,,
COMMANDO TYPE SOLE AND HEEL (PAIR),KENWARD ORTHOPAEDIC LTD,28,SS007,,,
OUTSIDE COMPENSATING RAISE WITHOUT A RAND UP TO 25mm,"JANE,SAUNDERS & MANNING",32,A13A,,,
HIGH OR ELONGATED STIFFENER UP TO 150mm TO ONE SIDE OF UPPER,"JANE,SAUNDERS & MANNING",32,A16,,,
LEVELLING CRADLE MOULDED TO A CAST UP TO 25mm,KENWARD ORTHOPAEDIC LTD,28,A10,,,
EACH SUBSEQUENT 25mm OR PART THEREOF,"JANE,SAUNDERS & MANNING",32,C02,,,
ANY ADDITIONAL FABRICATION TO THE BASE OF HELMET,ORTHO EUROPE LTD,27,OP/NSIM5,,,
APPLY LAST ADAPT TO 3mm TO A REHABILITATION LAST IN ONE AREA,ORTHO EUROPE LTD,27,FK-F10,,,
INCLUSION OF AN ELONGATED FLOATED OR WEDGE TO THE HEEL,KENWARD ORTHOPAEDIC LTD,28,A31,,,
HIGH OR ELONGATED STIFFENER UP TO 150mm TO ONE SIDE OF UPPER,KENWARD ORTHOPAEDIC LTD,28,A16,,,
ADDITIONAL COST OF COVERING INLAY IN SINGLE DENSITY MATERIAL,KENWARD ORTHOPAEDIC LTD,28,A44A,,,
FFO OR TCI MOULDED TO A CAST FROM EVA,BUCHANAN ORTHOTICS LIMITED,29,B54C,,,
OUTSIDE COMPENSATING RAISE WITH A RAND UP TO 25mm,"JANE,SAUNDERS & MANNING",32,A12a,,,
RIBBED TREAD TO FOOTWEAR,KENWARD ORTHOPAEDIC LTD,28,C21,,,
OUTSIDE COMPENSATING RAISE UP TO 25mm wo/RAND SINGLE ITEM,KENWARD ORTHOPAEDIC LTD,28,B3,,,
INSIDE COMPENSATING RAISE FROM 1-25mm,"JANE,SAUNDERS & MANNING",32,A08,,,
SOLE ADAPT ROCKER,KENWARD ORTHOPAEDIC LTD,28,B55A,,,
INCLUSION OF AN ELONGATED FLOATED OR WEDGE TO THE HEEL,"JANE,SAUNDERS & MANNING",32,A31,,,
ADDITIONAL PADDING - SINGLE ITEM OF FOOTWEAR,KENWARD ORTHOPAEDIC LTD,28,A15,,,
UPPER SURCHARGE - TRAINERS - REPEAT,"JANE,SAUNDERS & MANNING",32,NSI.USU,,,
BLOCKED LEATHER STIFFENER - TO A CAST,"JANE,SAUNDERS & MANNING",32,NSI.005,,,
ADDITIONAL COST OF ONE BOOT OR SHOE MANUFACTURED TO A CAST,"JANE,SAUNDERS & MANNING",32,A01K,,,
ADDITIONAL POSTING TO ANY FFOs - B40-B50-B51-B54,BUCHANAN ORTHOTICS LIMITED,29,B56,,,
CONCEALED OR O/S MET SUPPORT BAR ROCKER,KENWARD ORTHOPAEDIC LTD,28,A19,,,
ADDITION OF A LINED & PADDED T OR Y STRAP,KENWARD ORTHOPAEDIC LTD,28,A38,,,
SINGLE OR DOUBLE TOE ROUND OR RECTANGULAR SOCKET wo/BACKSTOP,KENWARD ORTHOPAEDIC LTD,28,A37A,,,
INCLUSION OF A FLOATED SOLE,KENWARD ORTHOPAEDIC LTD,28,A26,,,
INCLUSION OF A ROCKER SOLE SINGLE DENSITY,KENWARD ORTHOPAEDIC LTD,28,B17,,,
JOBST MTM ELVAREX - OPTION - ZIPPER,ESSITY UK LTD,27,L-A003,,,
SINGLE OR DOUBLE TOE ROUND OR RECTANGULAR SOCKET wo/BACKSTOP,"JANE,SAUNDERS & MANNING",32,A37A,,,
STRIP ALTER RELAST RETURN FOR FITTING STAGE,KENWARD ORTHOPAEDIC LTD,28,S1,,,
LEVELLING CRADLE MOULDED TO A CAST UP TO 25mm,"JANE,SAUNDERS & MANNING",32,A10,,,
FULL FACE VISOR w/GUARD,ORTHO EUROPE LTD,27,PH-V1,,,
JOBST MTM ELVAREX - OPTION - SILICONE BAND,ESSITY UK LTD,27,L-A004,,,
COMMANDO TYPE SOLES & HEELS,"JANE,SAUNDERS & MANNING",32,A06,,,
ADDITIONAL PADDING,BUCHANAN ORTHOTICS LIMITED,29,A15,,,
OUTSIDE COMPENSATING RAISE WITHOUT A RAND UP TO 25mm,KENWARD ORTHOPAEDIC LTD,28,A13A,,,
OUTSIDE MICRO RAISE EACH ADDITIONAL 25mm,KENWARD ORTHOPAEDIC LTD,28,A13b,,,
LEATHER SOLE & HEEL w/RUBBER TOP PIECE,KENWARD ORTHOPAEDIC LTD,28,A5,,,
INCLUSION OF A METBAR ROCKER SOLE OR SOLE WEDGE,BUCHANAN ORTHOTICS LIMITED,29,A19,,,
COVERING FOR B54 - SINGLE DUROMETER,BUCHANAN ORTHOTICS LIMITED,29,YB55A,,,
JOBST MTM ELVAREX SOFT - OPTION - SILICONE BAND,ESSITY UK LTD,27,U-A002S,,,
JOBST MTM ELVAREX SOFT SEAMLESS - OPTION - CCL2 FINGER,ESSITY UK LTD,27,U2-A014,,,
INCLUSION OF AN ELONGATED FLOATED OR WEDGE TO THE HEEL,BUCHANAN ORTHOTICS LIMITED,29,A31,,,
JOBST MTM ELVAREX - OPTION - CLOSED TOE,ESSITY UK LTD,27,L-A001S,,,
RECOVER AN INLAY OR CRADLE - EACH,HUGH STEEPER LIMITED,27,C47,,,
JOBST MTM ELVAREX - OPTION - T-HEEL,ESSITY UK LTD,27,L-A010,,,
JOBST MTM ELVAREX - OPTION - 2 ANKLE PADS (PROFILE),ESSITY UK LTD,27,L-A002,,,
JOBST MTM ELVAREX - OPTION - NON-STANDARD COLOUR,ESSITY UK LTD,27,L-A008,,,
HEELING IN LEATHER (PAIR),HUGH STEEPER LIMITED,27,C31,,,
"CHARGE FOR THRU-SOLING IN SYNTHETIC, RUBBER OR LEATHER",HUGH STEEPER LIMITED,27,C25,,,
OUTSIDE COMPENSATING RAISE UP TO 25mm wo/RAND SINGLE ITEM,HUGH STEEPER LIMITED,27,B3,,,
EACH SUBSEQUENT 25mm OR PART THEREOF TO B3,HUGH STEEPER LIMITED,27,B4,,,
HIGH BOOT UPPERS EACH ADDITIONAL 25mm OR PART THEREOF,HUGH STEEPER LIMITED,27,A17,,,
SOLING & HEELING IN SYNTHETIC MATERIAL OR RUBBER (PAIR),HUGH STEEPER LIMITED,27,C21,,,
RAISING THE HEEL IN FOOTWEAR UP TO 25mm,KENWARD ORTHOPAEDIC LTD,28,B5,,,
OUTSIDE CORK RAISE UP TO 25mm,KENWARD ORTHOPAEDIC LTD,28,A12a,,,
OUTSIDE CORK RAISE EACH ADDITIONAL 25mm,KENWARD ORTHOPAEDIC LTD,28,A12B,,,
REP COST FOR HEEL REP FLOAT- ELONG'N-OBLIQUE EA,HUGH STEEPER LIMITED,27,C34,,,
METATARSAL VALGUS OR HEEL PAD OR HEEL WEDGE TO SHOE OR INLAY,KENWARD ORTHOPAEDIC LTD,28,A45,,,
FILLING CAST,KENWARD ORTHOPAEDIC LTD,28,A1K,,,
FOREPART FILLER TO COMPENSATE FOR FOREFOOT AMPUTATION,KENWARD ORTHOPAEDIC LTD,28,A47,,,
TCI COVERING,KENWARD ORTHOPAEDIC LTD,28,B55B,,,
STEEL TOE PLATE,KENWARD ORTHOPAEDIC LTD,28,A20,,,
EACH ADDITIONAL 25mm OR PART THEREOF,KENWARD ORTHOPAEDIC LTD,28,A9,,,
ADDITIONAL COST OF A COVERING INLAY IN DUAL DENSITY MATERIAL,KENWARD ORTHOPAEDIC LTD,28,A44B,,,
HIGH BOOT UPPERS EACH ADDITIONAL 25mm OR PART THEREOF,KENWARD ORTHOPAEDIC LTD,28,A17,,,
SHEEPSKIN LINING,HUGH STEEPER LIMITED,27,B55C,,,
NEW SHOE UPPER REQUIRED FOLLOWING MID FIT EACH,KENWARD ORTHOPAEDIC LTD,28,A1J,,,
CUSTOM SOLE AND HEEL TO ALLOW FOR WIDTH OF LAST ALTERATION,KENWARD ORTHOPAEDIC LTD,28,SS019,,,
SOLING & HEELING IN COMMANDO TYPE UNITS (PAIR),HUGH STEEPER LIMITED,27,C22,,,
RENEW ELASTIC INSERT,HUGH STEEPER LIMITED,27,C15,,,
JOBST MTM ELVAREX - OPTION - CCL2 FINGER,ESSITY UK LTD,27,U2-A011,,,
JOBST MTM ELVAREX - OPTION - ZIPPER,ESSITY UK LTD,27,U-A001,,,
JOBST MTM ELVAREX - OPTION - CCL1 FINGER,ESSITY UK LTD,27,U1-A009,,,
LINED/PADDED DOUBLE DECKER T OR Y STRAP,"JANE,SAUNDERS & MANNING",32,A39,,,
METATARSAL VALGUS OR HEEL PAD OR HEEL WEDGE TO SHOE OR INLAY,"JANE,SAUNDERS & MANNING",32,A45,,,
STIFFENER OR SOLE PLATE IN COMPOSITE MATERIAL - EACH,"JANE,SAUNDERS & MANNING",32,A20,,,
FOREPART FILLER TO COMPENSATE FOR FOREFOOT AMPUTATION,"JANE,SAUNDERS & MANNING",32,A47,,,
SOLING IN LEATHER & HEELING IN RUBBER (PAIR),HUGH STEEPER LIMITED,27,C20,,,
JOBST MTM ELVAREX - OPTION - WAIST ATTACH w/GARTER BELT,ESSITY UK LTD,27,L-A005,,,
COMMANDO TYPE SOLES AND HEELS EXTRA TO A1A A1B A1C,KENWARD ORTHOPAEDIC LTD,28,A6,,,
ANY ADDITIONAL PADDING,KENWARD ORTHOPAEDIC LTD,28,B9,,,
RESTITCHING UPPER PER 25mm OR PART THEREOF,HUGH STEEPER LIMITED,27,C11,,,
RELINING THE BACK OF FOOTWEAR,HUGH STEEPER LIMITED,27,C19,,,
NEW BOOT UPPERS REQUIRED FOLLOWING MID FIT EACH,KENWARD ORTHOPAEDIC LTD,28,A1h,,,
NEW BOOT UPPERS REQUIRED FOLLOWING MID FIT EACH,HALO MEDICAL,27,A1h,,,
ADDITIONAL POSTING TO ANY FFOs - B40-B50-B51-B54,KENWARD ORTHOPAEDIC LTD,28,B56,,,
ADD ATTACHMENT - BRA/SHOULDER,MEDI UK,27,AAT,,,
ADD LINING,MEDI UK,27,ALG,,,
ADD BORDER - STEEP/STRAIGHT,MEDI UK,27,BDR,,,
ADD GUSSET - COMPRESSIVE/OPEN CROTCH,MEDI UK,27,GUS,,,
ADD PADDING,MEDI UK,27,PAD,,,
ADD POCKET,MEDI UK,27,PKT,,,
ADD SLANTED FOOT,MEDI UK,27,SFT,,,
ADD ZIP - LONG/SHORT,MEDI UK,27,DTZIP,,,
LEVELLING CRADLE MOULDED TO A CAST UP TO 25mm,REED MEDICAL LIMITED,27,A10,,,
OUTSIDE RAISE w/RAND UP TO 25mm,REED MEDICAL LIMITED,27,A12a,,,
ADDITIONAL 25mm OR PART THEREOF,REED MEDICAL LIMITED,27,A12B,,,
OUTSIDE RAISE wo/RAND UP TO 25mm,REED MEDICAL LIMITED,27,A13A,,,
